HeatRes.drawing                                      52/0
NoRCX.drawing                                        148/0
NoRCX.m2m3                                           148/41
NoRCX.m2m4                                           148/42
NoRCX.m2m5                                           148/43
NoRCX.m2tm1                                          148/44
NoRCX.m2tm2                                          148/45
NoRCX.m3m4                                           148/46
NoRCX.m3m5                                           148/47
NoRCX.m3tm1                                          148/48
NoRCX.m3tm2                                          148/49
NoRCX.m4m5                                           148/50
NoRCX.m4tm1                                          148/51
NoRCX.m4tm2                                          148/52
NoRCX.m5tm1                                          148/53
NoRCX.m5tm2                                          148/54
NoRCX.tm1tm2                                         148/55
NoRCX.m1sub                                          148/123
NoRCX.m2sub                                          148/124
NoRCX.m3sub                                          148/125
NoRCX.m4sub                                          148/126
NoRCX.m5sub                                          148/127
NoRCX.tm1sub                                         148/300
NoRCX.tm2sub                                         148/301
BiWind.drawing                                       3/0
BiWind.OPC                                           3/26
BasPoly.drawing                                      13/0
BasPoly.label                                        13/1
BasPoly.pin                                          13/2
BasPoly.net                                          13/3
BasPoly.boundary                                     13/4
EmWind.drawing                                       33/0
EmWind.OPC                                           33/26
DeepCo.drawing                                       35/0
EmPoly.drawing                                       55/0
Varicap.drawing                                      70/0
EmWind3.drawing                                      90/0
EmWiHV3.drawing                                      91/0
ColOpen.drawing                                      101/0
ColWind.drawing                                      139/0
EmWiHV.drawing                                       156/0
DeepVia.drawing                                      152/0
LBE.drawing                                          157/0
BackMetal1.drawing                                   20/0
BackMetal1.label                                     20/1
BackMetal1.pin                                       20/2
BackMetal1.net                                       20/3
BackMetal1.boundary                                  20/4
BackMetal1.mask                                      20/20
BackMetal1.filler                                    20/22
BackMetal1.nofill                                    20/23
BackMetal1.slit                                      20/24
BackMetal1.text                                      20/25
BackMetal1.OPC                                       20/26
BackMetal1.noqrc                                     20/28
BackMetal1.res                                       20/29
BackMetal1.iprobe                                    20/33
BackMetal1.diffprb                                   20/34
BackPassiv.drawing                                   23/0
IntBondVia.drawing                                   72/0
IntBondMet.drawing                                   73/0
DevBondVia.drawing                                   74/0
DevBondMet.drawing                                   75/0
DevTrench.drawing                                    76/0
Redist.drawing                                       77/0
FBE.drawing                                          54/0
AntVia1.drawing                                      83/0
AntMetal2.drawing                                    84/0
AntMetal1.drawing                                    132/0
FLM.drawing                                          142/0
SNSRing.drawing                                      135/0
Sensor.drawing                                       136/0
SNSArms.drawing                                      137/0
